document_id,document_text
ff6d7ebe-49e6-4af2-bfc2-f40801c74efa,"b""UGA-OTP-0283-0025 t>' \\ 1 Interpreter: !Dianne Luping Interviewers: Date of Interview: 5, 6, 19 and 20 February 2005 Lira Town, Lira District Place of Interview: Former Occupations: Farmer Current Occupation: Chairman Local Council -3 ('LC-3)' Pajule Language(s) Used in Interview: Acholi and English Language(s) Written: Acholi and English Language(s) Spoken: Acholi, Luo, English Religion: Catholic Ethnic OriginfTribe: Acholi Place of Residence: Pajule IDP Camp, Pajule sub-county, Pader district Place of Birth: Twnatoo village. Palenga Parish, Pajule sub-county, Pad.er district Date of Birth/ Age: June 1954, 50 Children: 12 children. Marital Status: Married, 2 wives Mother's Name: Madalena Lapobo Other names used: None Father's Name: Acaleri Ocaya First Name: Omona Alphonse Gender: Male Last Name: Lokilarnoi WITNESS INFORMATION: WITNESS STATEMENT INTERNATIONAL CRIMINAL COURT OFFICE OF THE PROSECUTOR UGA.00138.002 I llllll lJlll lllll llllt 1111 IHI """
f016d78c-e198-444d-a3d4-070159369ee9,"b""UGA-OTP-0283-0025 t>' \\ 1 Interpreter: !Dianne Luping Interviewers: Date of Interview: 5, 6, 19 and 20 February 2005 Lira Town, Lira District Place of Interview: Former Occupations: Farmer Current Occupation: Chairman Local Council -3 ('LC-3)' Pajule Language(s) Used in Interview: Acholi and English Language(s) Written: Acholi and English Language(s) Spoken: Acholi, Luo, English Religion: Catholic Ethnic OriginfTribe: Acholi Place of Residence: Pajule IDP Camp, Pajule sub-county, Pader district Place of Birth: Twnatoo village. Palenga Parish, Pajule sub-county, Pad.er district Date of Birth/ Age: June 1954, 50 Children: 12 children. Marital Status: Married, 2 wives Mother's Name: Madalena Lapobo Other names used: None Father's Name: Acaleri Ocaya First Name: Omona Alphonse Gender: Male Last Name: Lokilarnoi WITNESS INFORMATION: WITNESS STATEMENT INTERNATIONAL CRIMINAL COURT OFFICE OF THE PROSECUTOR UGA.00138.002 I llllll lJlll lllll llllt 1111 IHI """
c384c19c-877c-4fe8-9355-956b6b5b4398,"b""UGA-OTP-0283-0037 UGA_QQ147.214 11111r11111111111 r1111 ~111111 Language(s) Used in Interview: Acholi, English Language(s) Written: Acholi Language(s) Spoken: Acholi, English Religion: Catholic Ethnic Origin/Tribe: Acholi Place of Residence: Pajule-Lapul Trading Centre, Ogole Parish, Lapul s/county, Aruu County, Pader District Children: Six children and two dependants Date of Birth/ Age: 36 yrs; 25 November 1968 Marital Status: Married, one wife Place of Birth: Koyo Lalcgi Mother' s Name: A ITO Dayina Other: names used: None Father's Name: OJERA Edwin First Name: Terence Kanyurn Gender: Male Last Name: OTIKA WITNESS INFORMATION: WITNESS STATEMENT INTERNATIONAL CRIMINAL COURT OFFICE OF THE PROSECUTOR """
9ac8e880-340f-4466-a8f9-ce74d7f6fbe7,"b""UGA-OTP-0283-0048 UGA 00137 002 11nm 11111111111111111111m I Interpreter: and Dianne Luping Inteniewers: Lira Town, Lira District Former Occupations: Peasant Farmer Current Occupation; Peasant Farmer, Camp Commandant Languageis) Used in Interview: Acholi and English Language(s) Written: Acholi and English Language(s) Spoken: Acholi, Kiswahili and English Religion: Catholic Place of Interview:! Date of Interview: 5, 6, 20 and 21 February 2005 Ethnic Origin/Tribe: Acholi Place of Residence: Pajule Trading Centre, Pajule IDP Camp, Pader District Date of Birth/Age: 42; 22 November 1962 Children: Eight children Place of Birth: Acholi-Bur, Parler District Marital Status; Married Mother's Name: Abwoyo Mariana Other names used: Okeny Arycmo Father's Name: Odora Eromaci First Name: John Okema Gender: Male Last Name: Brown WITNESS INFORMATION: WITNESS STATEMENT INTERNATIONAL CRIMINAL COURT OFFICE OF THE PROSECUTOR """
0b5cb1bb-8b46-4751-9e8d-96e9ad0eaa8a,"b""UGA-OTP-0283-0083 UGA-OTP-0191-0254 111111111111 lllll lll\\l llllll lll llll Uganda Place of Interview: Former Occupations1-I Current Occupation: - Languages Used in Interview: English and Lango Languages Written (if different from spoken): Lango (some) and English Languages Spoken: Lango. Kumam, Acholi, English Religion: Protestant Ethnic Origin/Tribe: Lango Place of Residence: Place of Birth: Date of Birth/Age:l.years old. Born inJ .. I Children: No children. Mother's Name:I Marital Status: Not married Gender: Female Last Name: !First Name: 1-1 Other Names (used in the bush):l-1 Father's Name.] WITNESS INFORMATION: SECOND WITNESS STATEMENT INTERNATIONAL CRIMINAL COURT OFFICE OF THE PROSECUTOR \\ """
2fd1bee3-9b30-4804-9138-0c92317d46f2,"b""UGA-OTP-0283-0093 UGA00069.018 \\ IHm Hlll lllll lllll llll llll Signaturets ): Olivia Names of all persons present during interview: A Y AA Pyerina, STRUYVEN an~ and Olivia STRUYVEN Interpreter] Interviewer( s): Daters) and Time of Interview: 25 and 26 February 2005 Place of [nterview: GULU town Former Occupationrs): Peasant farmer Current Occupation: With the injury on my leg [cannot work Language(s) Used in Tnterview: Acholi, English Language(s) Written: can only write her name; can count Language(s) Spoken: Acholi Religion: Catholic Ethnic Origin: Acholi Date of Birth/Age: I don't know. I think 60 PlaceofBirth:PATALIRA NEN KITYENA village, PATIKO sub-county, ASWA county) OULU district Children: seven children (two deceased and one was abducted) Place of Residence: LALIY A-DWOL village (near Pope John Paul II Secondary School), PARDEGE Division, GULU municipality Mother's Name: Rosalia ADONG Other Names Used: I Father's Name: Stanlao ORYRM First Name(s): A Y AA Gender: Female Last Name: Pyerina WITNESS INFORMATION: WlTNESSSTATEMENT INTERNATIONAL CRIMINAL COURT OFFICE OF THE PROSECUTOR """
01cd76ba-beab-43c3-b64c-379f20533e34,"b'UGA-OTP-0283-0035 t?Ak - 11 49. It has been explained to me that if a case commences, and a nation asks the Court for a copy of my witness statement, the Court may decide to transmit my statement to the requesting nation. I was informed that protective measures may be available in such an event. I agree that my statement may be transmitted to law enforcement authorities of nations who might request it, including the Government of Uganda. 46. I have no complaints about the way 1 was treated during this interview. 47. I was informed that I might be called to testify before the Court and that, if called as a witness, my identity may have to be disclosed to the Court, the accused, and to defence counsel of the accused. 1 am currently willing to appear as a witness in Court, if called to testify. 48. I was informed of the procedures available to the Court of ensuring the protection of confidential information provided to the Court, as well as for my own protection and security. except for that land immediately outside the camp by asking the owners permission. 41. Staying at home in the village you feel free, but in the camp it is very difficult. You have to wait for food. You cannot cultivate and send produce to sell to send your children to school. There is no money to send people to hospital. There are no clothes, blankets, or cooking utensils. You must wait to be given these things. Life in the camp when there is fighting is very bad. However, at home in your village you can be abducted at any time including children. At home in my village, we used to sleep in the bush and in the morning would come back to our homes. If you do not do that, you could be abducted or killed by the rebels. Now that we are in the camp with the anny sleeping around the camp protecting the camp, you sleep with a bit of comfort. 42. There have been complaints against UPDF soldiers, including drunkards disturbing people, fighting with civilians, and shooting in the air. The commanders would punish them in the barracks to make sure they do not repeat this. 1 do not know exactly what punishment they do, but they call it a punishment. We would see those arrested, sometimes tied up with their shirts removed and marched back to the barracks. Those beating civilians would be taken to court. When they fight amongst themselves then this is sorted out in the barracks. I recall about three cases where LDUs sexually violated women at the camp, who were later imprisoned. Closing Precedure 43. I have nothing to add to the above statement nor do I have anything to clarify. 44. I have given the answers to the questions of my own free will. 45. There has been no threat, promise or inducement which has influenced my answers. UGA.00138.012 I rHlll llrtl lllfl llHI 11111111 '"
c3fb0d51-03ae-4d7e-8586-df38dc55c893,"b'UGA-OTP-0283-0035 t?Ak - 11 49. It has been explained to me that if a case commences, and a nation asks the Court for a copy of my witness statement, the Court may decide to transmit my statement to the requesting nation. I was informed that protective measures may be available in such an event. I agree that my statement may be transmitted to law enforcement authorities of nations who might request it, including the Government of Uganda. 46. I have no complaints about the way 1 was treated during this interview. 47. I was informed that I might be called to testify before the Court and that, if called as a witness, my identity may have to be disclosed to the Court, the accused, and to defence counsel of the accused. 1 am currently willing to appear as a witness in Court, if called to testify. 48. I was informed of the procedures available to the Court of ensuring the protection of confidential information provided to the Court, as well as for my own protection and security. except for that land immediately outside the camp by asking the owners permission. 41. Staying at home in the village you feel free, but in the camp it is very difficult. You have to wait for food. You cannot cultivate and send produce to sell to send your children to school. There is no money to send people to hospital. There are no clothes, blankets, or cooking utensils. You must wait to be given these things. Life in the camp when there is fighting is very bad. However, at home in your village you can be abducted at any time including children. At home in my village, we used to sleep in the bush and in the morning would come back to our homes. If you do not do that, you could be abducted or killed by the rebels. Now that we are in the camp with the anny sleeping around the camp protecting the camp, you sleep with a bit of comfort. 42. There have been complaints against UPDF soldiers, including drunkards disturbing people, fighting with civilians, and shooting in the air. The commanders would punish them in the barracks to make sure they do not repeat this. 1 do not know exactly what punishment they do, but they call it a punishment. We would see those arrested, sometimes tied up with their shirts removed and marched back to the barracks. Those beating civilians would be taken to court. When they fight amongst themselves then this is sorted out in the barracks. I recall about three cases where LDUs sexually violated women at the camp, who were later imprisoned. Closing Precedure 43. I have nothing to add to the above statement nor do I have anything to clarify. 44. I have given the answers to the questions of my own free will. 45. There has been no threat, promise or inducement which has influenced my answers. UGA.00138.012 I rHlll llrtl lllfl llHI 11111111 '"
72de4dd3-1df4-4b2d-b93d-3d02af78647e,"b""UGA-OTP-0283-004 7 UGA.00147.224 I IJJ/1111111 Ill~ IUIJ 1111 Ifl/ 11 Signed: ~ Dated: I g \xc2\xb7- 0 '-{ .- ,2__c i.'> i- 4. OTIKA Terence Kanyum has acknowledged that the facts and matters set out in his Statement. as translated by me, are true to the best of his knowledge and recollection and has accordingly signed his signature where indicated. 3. I have orally translated the above statement from the English language to the Acholi language in the presence of OTJKA Terence Kanyum, who appeared to have heard and understood my translation of the Statement. 2. I have been informed by OTIKA Terence Kanyum that he speaks and understands the Acholi language. 1. I am duly qualified to interpret from the Acholi language into the English language and from the English language into the Acholi language. certify that I, INTERPRETER CERTIFICATION Witness statement ofOTIKA Terence Kanywn """
1d9a12a2-4bca-4316-9e3e-b3abc5fed585,"b'UGA-OTP-0283-0058 UGA.00137.012 l llUll lllll 11111 llllt ml Ill) 11 55. The rebels got into most of the huts of the camp. We called for camp residents to provide information to the block leaders of any properties stolen or damaged. I attach as annexes \'~J"", ""K"", ""L"", and ""M"" the records of the block leaders for four of the six parishes within Pajulc sub-county of Psjule IDP campj of these who reported properties looted and homes burnt in the attack of 10 October 2003. The lists recorded the numbers of food stuffs and non food stuffs taken from these camp residents, and whether their homes were burnt. Annex ""J"" lists this information for Ogago parish; annex 4~K"" lists this information for Otok parish; annex \xc5\x81\'L"" lists this information for Paiula parish; and annex ""M"" lists this information for Palwo parish. The block leaders provided me with their records after they finished compiling this information about items looted and properties damaged by early 2004. l obtained these records from my office, where they 54. Some of the people included in this list have since left Pajule IDP camp. This list does not include the names of anybody who was abducted but did not receive a letter from a reception centre including those said to be released by Otti Vincent, nor does it include any of those abducted who may have not returned to Pajule IOP camp after their return from captivity. I obtained this list from my office where I had stored it as a sub-county record. 53. I attach as annex ""I"" the list of abductees who had been at reception centres and were reported as having returned to Pajule IDP camp. I started supervising the compilation of this list from 2003 and we continued recording this information until 2004. The staff at my office and I compiled this list at the request ofNGOs to confirm those abductees from Pajule IDP camp, who had been at the NGOs\' reception centres. We only recorded information of those abductees, who reported at our office themselves or relatives on their behalf) with a letter- from the abductee\'s reception centre. The block leader of that abductec\'s parish would record their information, unless the block leader delegated the task to somebody else (for example the block leader of Palenga parish has difficulty writing) or if they were not present somebody else in our office, including me, recorded it. 5 l. My office does not know how many people are still missing. Some of those returning from abduction were taken to the LC-3 office, and were then taken to the barracks to give information. However, I cannot be certain that al1 of those abductees returning went to the LC-3~s office. I was present at some of those times those abducted on 10 October 2003 returned and reported to the LC-3\'s office. Their particulars were taken such as their name, their age, their village and parish, their parents, the dare of their abduction, and leader of their group whilst they were in the bush under the LRA\'s captivity. 52. The camp commandant and block leaders of Lapul sub-county were also required under our regulations to record information for those abducted, huts burnt, people who died, and households looted. They should have the records of those reported by relatives as abducted from the four parishes of Lapui sub-county. The name of the current camp commandant of Lapul sub-county is Otika Terence Kanyum, I do not know of the numbers abducted from Lapul sub-county. '"
